Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,Prefix/Suffix,TinyURL,DNS_Record,iFrame,Mouse_Over,Right_Click,Web_Forwards
drcarmenmora.com,0,0,1,4,0,0,0,0,0,1,1,1,1
una.saatrva.com,0,0,1,3,0,0,0,0,0,1,1,1,1
csinformaticos.com.mx,0,0,0,2,0,0,0,0,0,1,1,1,1
app.box.com,0,0,1,2,0,0,0,1,0,1,1,1,1
netorgft754307-my.sharepoint.com,0,0,1,5,0,0,1,1,0,1,1,1,1
soytablaroquero.com,0,0,0,2,0,0,0,0,0,1,1,1,1
bank-of-america-secure00.dns05.com,0,0,1,2,0,0,1,0,0,1,1,1,1
docs.google.com,0,0,1,5,0,0,0,0,0,1,1,1,1
ppsecuritycheck.uk,0,0,1,1,0,0,0,0,0,1,1,1,1
bestfanyi.com.au,0,0,1,1,0,0,0,0,0,1,1,1,1
u3699884.ct.sendgrid.net,0,0,1,2,0,0,0,0,0,1,1,1,1
bigislandcondorentalsbyowner.com,0,0,0,1,0,0,0,0,0,1,1,1,1
old.partiesunlimited.net,0,0,1,4,0,0,0,0,0,1,1,1,1
perfectionenterprises.com,0,0,0,1,0,0,0,0,0,1,1,1,1
aplus.co.jp.jmfspf.com,0,0,0,1,0,0,0,0,0,1,1,1,1
suncorporationent.lazlosoftwaresolution.info,0,0,1,2,0,0,0,0,0,1,1,1,1
lloyd-deregister-unauthorisedaccess.com,0,0,0,0,0,0,1,0,0,1,1,1,1
fiestanube.com.ar,0,0,0,2,0,0,0,0,0,1,1,1,1
littlefoots.ru,0,0,1,1,0,0,0,0,0,1,1,1,1
onedrive.live.com,0,0,1,1,0,0,0,0,0,1,1,1,1
online-securehalifaxaccount.com,0,0,0,1,0,0,1,1,0,1,1,1,1
ebsarksa.org,0,0,0,3,0,0,0,0,0,1,1,1,1
digitalflashbacks.ca,0,0,1,5,0,0,0,0,0,1,1,1,1
appviagespontosbr.com,0,0,1,6,0,0,0,0,0,1,1,1,1
7coin.ru,0,0,0,0,0,0,0,0,0,1,1,1,1
doc.google.com,0,0,1,5,0,0,0,0,0,1,1,1,1
bancapointernet-interbank.pe-rw.eu,0,0,0,1,0,0,1,0,0,1,1,1,1
doc.google.com,0,0,1,4,0,0,0,0,0,1,1,1,1
sites.google.com,0,0,0,2,0,0,0,0,0,1,1,1,1
spk-hauptfiliale.de,0,0,1,1,0,0,1,0,0,1,1,1,1
jaipuriabhawan.com,0,0,1,3,0,0,0,0,0,1,1,1,1
sexzspornmevidions.otzo.com,0,0,0,0,0,0,0,0,0,1,1,1,1
taxpark.com,0,0,0,3,0,0,0,0,0,1,1,1,1
centerprotectuser-argentina.com,0,0,1,7,0,0,1,0,0,1,1,1,1
elexusgirisim1.blogspot.com,0,0,0,0,0,0,0,1,0,1,1,1,1
centec-am.com.br,0,0,1,3,0,0,1,0,0,1,1,1,1
78.143.96.35,0,0,1,3,0,0,0,0,0,1,1,1,1
182.16.104.212,0,1,1,2,1,0,0,0,0,1,1,1,1
clouddoc-authorize.firebaseapp.com,0,0,1,2,0,0,1,0,0,1,1,1,1
ww38.xieziet.do22.co,0,0,0,1,0,0,0,0,0,1,1,1,1
smss-mms.yolasite.com,0,0,0,0,0,0,1,0,0,1,1,1,1
tuttifelici.pe,0,0,1,1,0,0,0,0,0,1,1,1,1
t.co,0,0,0,1,0,0,0,1,0,1,1,1,1
www2.vuelos-madrid-santander.tropicalfish.pl,0,0,0,0,0,0,1,0,0,1,1,1,1
ljmforklift.com,0,0,0,5,0,0,0,1,0,1,1,1,1
flax-industrious-quail.glitch.me,0,1,1,0,0,0,1,0,0,1,1,1,1
472a4262-a2a1-4785-b3aa-4816cba070ed.htmlcomponentservice.com,0,0,1,1,0,0,1,0,0,1,1,1,1
h5brzd.webwave.dev,0,0,0,0,0,0,0,0,0,1,1,1,1
mastermindesolutions.com,0,0,0,3,0,0,0,0,0,1,1,1,1
vevobahis211.blogspot.com,0,0,0,0,0,0,0,1,0,1,1,1,1
login-bank.org,0,0,0,1,0,0,1,0,0,1,1,1,1
laforestaincantata.dog,0,0,0,2,0,0,0,0,0,1,1,1,1
thomsea.fr,0,0,0,0,0,0,0,0,0,1,1,1,1
chewis.ml,0,0,0,1,0,0,0,0,0,1,1,1,1
whatsapp-bkpfree2021.forumz.info,0,0,0,0,0,0,1,0,0,1,1,1,1
activitemobilmessagerie.webador.com,0,0,0,0,0,0,0,0,0,1,1,1,1
gwisalltrack.com,0,0,1,2,0,0,0,0,0,1,1,1,1
ierh.fityq.com,0,0,0,1,0,0,0,0,0,1,1,1,1
xn--davivienda-portl-tmb.com,0,0,1,2,0,0,1,0,0,1,1,1,1
news-for.ru,0,0,1,2,0,0,1,0,0,1,1,1,1
confirm-fbi-523168714.tk,0,0,1,1,0,0,1,0,0,1,1,1,1
computershoys.net,0,0,0,0,0,0,0,0,0,1,1,1,1
index.kroppsfunktion.com,0,0,0,2,0,0,0,0,0,1,1,1,1
amazon-check-co-jp.e1k.top,0,0,0,0,0,0,1,0,0,1,1,1,1
mysite.plexusworldwide.com,0,0,0,1,0,0,0,0,0,1,1,1,1
device-pair-authentication.com,0,0,0,1,0,0,1,0,0,1,1,1,1
powaywelding.com,0,0,0,2,0,0,0,0,0,1,1,1,1
