Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,Prefix/Suffix,TinyURL,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards
graphicriver.net,0,0,1,1,0,0,0,0,1,1,1,1,1
ecnavi.jp,0,0,1,1,1,0,0,0,1,1,1,1,1
hubpages.com,0,0,1,1,0,0,0,0,1,1,1,1,1
extratorrent.cc,0,0,1,3,0,0,0,0,1,1,1,1,1
icicibank.com,0,0,1,3,0,0,0,0,1,1,1,1,1
nypost.com,0,0,1,4,0,0,0,1,1,1,1,1,1
kienthuc.net.vn,0,0,1,2,0,0,0,0,1,1,1,1,1
thenextweb.com,0,0,1,6,0,0,0,0,1,1,1,1,1
tobogo.net,0,0,1,2,0,0,0,0,1,1,1,1,1
akhbarelyom.com,0,0,1,5,0,0,0,0,1,1,1,1,1
